StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-05-31T23:00+00:00Z,2022-06-01T00:00+00:00Z,10YSE-1--------K,MAW,B12,5264
2022-06-01T00:00+00:00Z,2022-06-01T01:00+00:00Z,10YSE-1--------K,MAW,B12,5320
2022-06-01T01:00+00:00Z,2022-06-01T02:00+00:00Z,10YSE-1--------K,MAW,B12,5387
2022-06-01T02:00+00:00Z,2022-06-01T03:00+00:00Z,10YSE-1--------K,MAW,B12,6039
2022-06-01T03:00+00:00Z,2022-06-01T04:00+00:00Z,10YSE-1--------K,MAW,B12,7255
2022-06-01T04:00+00:00Z,2022-06-01T05:00+00:00Z,10YSE-1--------K,MAW,B12,8078
2022-06-01T05:00+00:00Z,2022-06-01T06:00+00:00Z,10YSE-1--------K,MAW,B12,8473
2022-06-01T06:00+00:00Z,2022-06-01T07:00+00:00Z,10YSE-1--------K,MAW,B12,8525
2022-06-01T07:00+00:00Z,2022-06-01T08:00+00:00Z,10YSE-1--------K,MAW,B12,8342
2022-06-01T08:00+00:00Z,2022-06-01T09:00+00:00Z,10YSE-1--------K,MAW,B12,8321
2022-06-01T09:00+00:00Z,2022-06-01T10:00+00:00Z,10YSE-1--------K,MAW,B12,8373
2022-06-01T10:00+00:00Z,2022-06-01T11:00+00:00Z,10YSE-1--------K,MAW,B12,8303
2022-06-01T11:00+00:00Z,2022-06-01T12:00+00:00Z,10YSE-1--------K,MAW,B12,8289
2022-06-01T12:00+00:00Z,2022-06-01T13:00+00:00Z,10YSE-1--------K,MAW,B12,8205
2022-06-01T13:00+00:00Z,2022-06-01T14:00+00:00Z,10YSE-1--------K,MAW,B12,8216
2022-06-01T14:00+00:00Z,2022-06-01T15:00+00:00Z,10YSE-1--------K,MAW,B12,8493
2022-06-01T15:00+00:00Z,2022-06-01T16:00+00:00Z,10YSE-1--------K,MAW,B12,8562
2022-06-01T16:00+00:00Z,2022-06-01T17:00+00:00Z,10YSE-1--------K,MAW,B12,8257
2022-06-01T17:00+00:00Z,2022-06-01T18:00+00:00Z,10YSE-1--------K,MAW,B12,8206
2022-06-01T18:00+00:00Z,2022-06-01T19:00+00:00Z,10YSE-1--------K,MAW,B12,8210
2022-06-01T19:00+00:00Z,2022-06-01T20:00+00:00Z,10YSE-1--------K,MAW,B12,7869
2022-06-01T20:00+00:00Z,2022-06-01T21:00+00:00Z,10YSE-1--------K,MAW,B12,7742
2022-06-01T21:00+00:00Z,2022-06-01T22:00+00:00Z,10YSE-1--------K,MAW,B12,7300
2022-06-01T22:00+00:00Z,2022-06-01T23:00+00:00Z,10YSE-1--------K,MAW,B12,7311
2022-06-01T23:00+00:00Z,2022-06-02T00:00+00:00Z,10YSE-1--------K,MAW,B12,7264
2022-06-02T00:00+00:00Z,2022-06-02T01:00+00:00Z,10YSE-1--------K,MAW,B12,7414
2022-06-02T01:00+00:00Z,2022-06-02T02:00+00:00Z,10YSE-1--------K,MAW,B12,7780
2022-06-02T02:00+00:00Z,2022-06-02T03:00+00:00Z,10YSE-1--------K,MAW,B12,8170
2022-06-02T03:00+00:00Z,2022-06-02T04:00+00:00Z,10YSE-1--------K,MAW,B12,8771
2022-06-02T04:00+00:00Z,2022-06-02T05:00+00:00Z,10YSE-1--------K,MAW,B12,9161
2022-06-02T05:00+00:00Z,2022-06-02T06:00+00:00Z,10YSE-1--------K,MAW,B12,9162
2022-06-02T06:00+00:00Z,2022-06-02T07:00+00:00Z,10YSE-1--------K,MAW,B12,9055
2022-06-02T07:00+00:00Z,2022-06-02T08:00+00:00Z,10YSE-1--------K,MAW,B12,8943
2022-06-02T08:00+00:00Z,2022-06-02T09:00+00:00Z,10YSE-1--------K,MAW,B12,8885
2022-06-02T09:00+00:00Z,2022-06-02T10:00+00:00Z,10YSE-1--------K,MAW,B12,8812
2022-06-02T10:00+00:00Z,2022-06-02T11:00+00:00Z,10YSE-1--------K,MAW,B12,8769
2022-06-02T11:00+00:00Z,2022-06-02T12:00+00:00Z,10YSE-1--------K,MAW,B12,8686
2022-06-02T12:00+00:00Z,2022-06-02T13:00+00:00Z,10YSE-1--------K,MAW,B12,8654
2022-06-02T13:00+00:00Z,2022-06-02T14:00+00:00Z,10YSE-1--------K,MAW,B12,8364
2022-06-02T14:00+00:00Z,2022-06-02T15:00+00:00Z,10YSE-1--------K,MAW,B12,8373
2022-06-02T15:00+00:00Z,2022-06-02T16:00+00:00Z,10YSE-1--------K,MAW,B12,8492
2022-06-02T16:00+00:00Z,2022-06-02T17:00+00:00Z,10YSE-1--------K,MAW,B12,8328
2022-06-02T17:00+00:00Z,2022-06-02T18:00+00:00Z,10YSE-1--------K,MAW,B12,8244
2022-06-02T18:00+00:00Z,2022-06-02T19:00+00:00Z,10YSE-1--------K,MAW,B12,7783
2022-06-02T19:00+00:00Z,2022-06-02T20:00+00:00Z,10YSE-1--------K,MAW,B12,7032
2022-06-02T20:00+00:00Z,2022-06-02T21:00+00:00Z,10YSE-1--------K,MAW,B12,6558
2022-06-02T21:00+00:00Z,2022-06-02T22:00+00:00Z,10YSE-1--------K,MAW,B12,5430
2022-06-02T22:00+00:00Z,2022-06-02T23:00+00:00Z,10YSE-1--------K,MAW,B12,5248
2022-06-02T23:00+00:00Z,2022-06-03T00:00+00:00Z,10YSE-1--------K,MAW,B12,5138
2022-06-03T00:00+00:00Z,2022-06-03T01:00+00:00Z,10YSE-1--------K,MAW,B12,5249
2022-06-03T01:00+00:00Z,2022-06-03T02:00+00:00Z,10YSE-1--------K,MAW,B12,5298
2022-06-03T02:00+00:00Z,2022-06-03T03:00+00:00Z,10YSE-1--------K,MAW,B12,6265
2022-06-03T03:00+00:00Z,2022-06-03T04:00+00:00Z,10YSE-1--------K,MAW,B12,7231
2022-06-03T04:00+00:00Z,2022-06-03T05:00+00:00Z,10YSE-1--------K,MAW,B12,7419
2022-06-03T05:00+00:00Z,2022-06-03T06:00+00:00Z,10YSE-1--------K,MAW,B12,7543
2022-06-03T06:00+00:00Z,2022-06-03T07:00+00:00Z,10YSE-1--------K,MAW,B12,7475
2022-06-03T07:00+00:00Z,2022-06-03T08:00+00:00Z,10YSE-1--------K,MAW,B12,7272
2022-06-03T08:00+00:00Z,2022-06-03T09:00+00:00Z,10YSE-1--------K,MAW,B12,7079
2022-06-03T09:00+00:00Z,2022-06-03T10:00+00:00Z,10YSE-1--------K,MAW,B12,7064
2022-06-03T10:00+00:00Z,2022-06-03T11:00+00:00Z,10YSE-1--------K,MAW,B12,7080
2022-06-03T11:00+00:00Z,2022-06-03T12:00+00:00Z,10YSE-1--------K,MAW,B12,7136
2022-06-03T12:00+00:00Z,2022-06-03T13:00+00:00Z,10YSE-1--------K,MAW,B12,7260
2022-06-03T13:00+00:00Z,2022-06-03T14:00+00:00Z,10YSE-1--------K,MAW,B12,7267
2022-06-03T14:00+00:00Z,2022-06-03T15:00+00:00Z,10YSE-1--------K,MAW,B12,7753
2022-06-03T15:00+00:00Z,2022-06-03T16:00+00:00Z,10YSE-1--------K,MAW,B12,7834
2022-06-03T16:00+00:00Z,2022-06-03T17:00+00:00Z,10YSE-1--------K,MAW,B12,7593
2022-06-03T17:00+00:00Z,2022-06-03T18:00+00:00Z,10YSE-1--------K,MAW,B12,7285
2022-06-03T18:00+00:00Z,2022-06-03T19:00+00:00Z,10YSE-1--------K,MAW,B12,7205
2022-06-03T19:00+00:00Z,2022-06-03T20:00+00:00Z,10YSE-1--------K,MAW,B12,6834
2022-06-03T20:00+00:00Z,2022-06-03T21:00+00:00Z,10YSE-1--------K,MAW,B12,6488
2022-06-03T21:00+00:00Z,2022-06-03T22:00+00:00Z,10YSE-1--------K,MAW,B12,5825
2022-06-03T22:00+00:00Z,2022-06-03T23:00+00:00Z,10YSE-1--------K,MAW,B12,5678
2022-06-03T23:00+00:00Z,2022-06-04T00:00+00:00Z,10YSE-1--------K,MAW,B12,5487
2022-06-04T00:00+00:00Z,2022-06-04T01:00+00:00Z,10YSE-1--------K,MAW,B12,5428
2022-06-04T01:00+00:00Z,2022-06-04T02:00+00:00Z,10YSE-1--------K,MAW,B12,5429
2022-06-04T02:00+00:00Z,2022-06-04T03:00+00:00Z,10YSE-1--------K,MAW,B12,5679
2022-06-04T03:00+00:00Z,2022-06-04T04:00+00:00Z,10YSE-1--------K,MAW,B12,6128
2022-06-04T04:00+00:00Z,2022-06-04T05:00+00:00Z,10YSE-1--------K,MAW,B12,6357
2022-06-04T05:00+00:00Z,2022-06-04T06:00+00:00Z,10YSE-1--------K,MAW,B12,6655
2022-06-04T06:00+00:00Z,2022-06-04T07:00+00:00Z,10YSE-1--------K,MAW,B12,6889
2022-06-04T07:00+00:00Z,2022-06-04T08:00+00:00Z,10YSE-1--------K,MAW,B12,7077
2022-06-04T08:00+00:00Z,2022-06-04T09:00+00:00Z,10YSE-1--------K,MAW,B12,7089
2022-06-04T09:00+00:00Z,2022-06-04T10:00+00:00Z,10YSE-1--------K,MAW,B12,5909
2022-06-04T10:00+00:00Z,2022-06-04T11:00+00:00Z,10YSE-1--------K,MAW,B12,5770
2022-06-04T11:00+00:00Z,2022-06-04T12:00+00:00Z,10YSE-1--------K,MAW,B12,5753
2022-06-04T12:00+00:00Z,2022-06-04T13:00+00:00Z,10YSE-1--------K,MAW,B12,5938
2022-06-04T13:00+00:00Z,2022-06-04T14:00+00:00Z,10YSE-1--------K,MAW,B12,6090
2022-06-04T14:00+00:00Z,2022-06-04T15:00+00:00Z,10YSE-1--------K,MAW,B12,6180
2022-06-04T15:00+00:00Z,2022-06-04T16:00+00:00Z,10YSE-1--------K,MAW,B12,6297
2022-06-04T16:00+00:00Z,2022-06-04T17:00+00:00Z,10YSE-1--------K,MAW,B12,6512
2022-06-04T17:00+00:00Z,2022-06-04T18:00+00:00Z,10YSE-1--------K,MAW,B12,6517
2022-06-04T18:00+00:00Z,2022-06-04T19:00+00:00Z,10YSE-1--------K,MAW,B12,6487
2022-06-04T19:00+00:00Z,2022-06-04T20:00+00:00Z,10YSE-1--------K,MAW,B12,6485
2022-06-04T20:00+00:00Z,2022-06-04T21:00+00:00Z,10YSE-1--------K,MAW,B12,6341
2022-06-04T21:00+00:00Z,2022-06-04T22:00+00:00Z,10YSE-1--------K,MAW,B12,5951
2022-06-04T22:00+00:00Z,2022-06-04T23:00+00:00Z,10YSE-1--------K,MAW,B12,5752
2022-06-04T23:00+00:00Z,2022-06-05T00:00+00:00Z,10YSE-1--------K,MAW,B12,5724
2022-06-05T00:00+00:00Z,2022-06-05T01:00+00:00Z,10YSE-1--------K,MAW,B12,5638
2022-06-05T01:00+00:00Z,2022-06-05T02:00+00:00Z,10YSE-1--------K,MAW,B12,5613
2022-06-05T02:00+00:00Z,2022-06-05T03:00+00:00Z,10YSE-1--------K,MAW,B12,5926
2022-06-05T03:00+00:00Z,2022-06-05T04:00+00:00Z,10YSE-1--------K,MAW,B12,5802
2022-06-05T04:00+00:00Z,2022-06-05T05:00+00:00Z,10YSE-1--------K,MAW,B12,5713
2022-06-05T05:00+00:00Z,2022-06-05T06:00+00:00Z,10YSE-1--------K,MAW,B12,5923
2022-06-05T06:00+00:00Z,2022-06-05T07:00+00:00Z,10YSE-1--------K,MAW,B12,5888
2022-06-05T07:00+00:00Z,2022-06-05T08:00+00:00Z,10YSE-1--------K,MAW,B12,5886
