StartTime,EndTime,AreaID,UnitName,Load
2022-05-31T23:00+00:00Z,2022-06-01T00:00+00:00Z,10YIT-GRTN-----B,MAW,25188
2022-06-01T00:00+00:00Z,2022-06-01T01:00+00:00Z,10YIT-GRTN-----B,MAW,24782
2022-06-01T01:00+00:00Z,2022-06-01T02:00+00:00Z,10YIT-GRTN-----B,MAW,25129
2022-06-01T02:00+00:00Z,2022-06-01T03:00+00:00Z,10YIT-GRTN-----B,MAW,25855
2022-06-01T03:00+00:00Z,2022-06-01T04:00+00:00Z,10YIT-GRTN-----B,MAW,29461
2022-06-01T04:00+00:00Z,2022-06-01T05:00+00:00Z,10YIT-GRTN-----B,MAW,34422
2022-06-01T05:00+00:00Z,2022-06-01T06:00+00:00Z,10YIT-GRTN-----B,MAW,38157
2022-06-01T06:00+00:00Z,2022-06-01T07:00+00:00Z,10YIT-GRTN-----B,MAW,39197
2022-06-01T07:00+00:00Z,2022-06-01T08:00+00:00Z,10YIT-GRTN-----B,MAW,39101
2022-06-01T08:00+00:00Z,2022-06-01T09:00+00:00Z,10YIT-GRTN-----B,MAW,39462
2022-06-01T09:00+00:00Z,2022-06-01T10:00+00:00Z,10YIT-GRTN-----B,MAW,38164
2022-06-01T10:00+00:00Z,2022-06-01T11:00+00:00Z,10YIT-GRTN-----B,MAW,38245
2022-06-01T11:00+00:00Z,2022-06-01T12:00+00:00Z,10YIT-GRTN-----B,MAW,39320
2022-06-01T12:00+00:00Z,2022-06-01T13:00+00:00Z,10YIT-GRTN-----B,MAW,39783
2022-06-01T13:00+00:00Z,2022-06-01T14:00+00:00Z,10YIT-GRTN-----B,MAW,39820
2022-06-01T14:00+00:00Z,2022-06-01T15:00+00:00Z,10YIT-GRTN-----B,MAW,38834
2022-06-01T15:00+00:00Z,2022-06-01T16:00+00:00Z,10YIT-GRTN-----B,MAW,37729
2022-06-01T16:00+00:00Z,2022-06-01T17:00+00:00Z,10YIT-GRTN-----B,MAW,37154
2022-06-01T17:00+00:00Z,2022-06-01T18:00+00:00Z,10YIT-GRTN-----B,MAW,36517
2022-06-01T18:00+00:00Z,2022-06-01T19:00+00:00Z,10YIT-GRTN-----B,MAW,35523
2022-06-01T19:00+00:00Z,2022-06-01T20:00+00:00Z,10YIT-GRTN-----B,MAW,32600
2022-06-01T20:00+00:00Z,2022-06-01T21:00+00:00Z,10YIT-GRTN-----B,MAW,30078
2022-06-01T21:00+00:00Z,2022-06-01T22:00+00:00Z,10YIT-GRTN-----B,MAW,27405
2022-06-01T22:00+00:00Z,2022-06-01T23:00+00:00Z,10YIT-GRTN-----B,MAW,25616
2022-06-01T23:00+00:00Z,2022-06-02T00:00+00:00Z,10YIT-GRTN-----B,MAW,24544
2022-06-02T00:00+00:00Z,2022-06-02T01:00+00:00Z,10YIT-GRTN-----B,MAW,23879
2022-06-02T01:00+00:00Z,2022-06-02T02:00+00:00Z,10YIT-GRTN-----B,MAW,23434
2022-06-02T02:00+00:00Z,2022-06-02T03:00+00:00Z,10YIT-GRTN-----B,MAW,22676
2022-06-02T03:00+00:00Z,2022-06-02T04:00+00:00Z,10YIT-GRTN-----B,MAW,22698
2022-06-02T04:00+00:00Z,2022-06-02T05:00+00:00Z,10YIT-GRTN-----B,MAW,24536
2022-06-02T05:00+00:00Z,2022-06-02T06:00+00:00Z,10YIT-GRTN-----B,MAW,26457
2022-06-02T06:00+00:00Z,2022-06-02T07:00+00:00Z,10YIT-GRTN-----B,MAW,27735
2022-06-02T07:00+00:00Z,2022-06-02T08:00+00:00Z,10YIT-GRTN-----B,MAW,28146
2022-06-02T08:00+00:00Z,2022-06-02T09:00+00:00Z,10YIT-GRTN-----B,MAW,28262
2022-06-02T09:00+00:00Z,2022-06-02T10:00+00:00Z,10YIT-GRTN-----B,MAW,28107
2022-06-02T10:00+00:00Z,2022-06-02T11:00+00:00Z,10YIT-GRTN-----B,MAW,27931
2022-06-02T11:00+00:00Z,2022-06-02T12:00+00:00Z,10YIT-GRTN-----B,MAW,27375
2022-06-02T12:00+00:00Z,2022-06-02T13:00+00:00Z,10YIT-GRTN-----B,MAW,27297
2022-06-02T13:00+00:00Z,2022-06-02T14:00+00:00Z,10YIT-GRTN-----B,MAW,27827
2022-06-02T14:00+00:00Z,2022-06-02T15:00+00:00Z,10YIT-GRTN-----B,MAW,28847
2022-06-02T15:00+00:00Z,2022-06-02T16:00+00:00Z,10YIT-GRTN-----B,MAW,30048
2022-06-02T16:00+00:00Z,2022-06-02T17:00+00:00Z,10YIT-GRTN-----B,MAW,30781
2022-06-02T17:00+00:00Z,2022-06-02T18:00+00:00Z,10YIT-GRTN-----B,MAW,30794
2022-06-02T18:00+00:00Z,2022-06-02T19:00+00:00Z,10YIT-GRTN-----B,MAW,31079
2022-06-02T19:00+00:00Z,2022-06-02T20:00+00:00Z,10YIT-GRTN-----B,MAW,29422
2022-06-02T20:00+00:00Z,2022-06-02T21:00+00:00Z,10YIT-GRTN-----B,MAW,27126
2022-06-02T21:00+00:00Z,2022-06-02T22:00+00:00Z,10YIT-GRTN-----B,MAW,24784
2022-06-02T22:00+00:00Z,2022-06-02T23:00+00:00Z,10YIT-GRTN-----B,MAW,23386
2022-06-02T23:00+00:00Z,2022-06-03T00:00+00:00Z,10YIT-GRTN-----B,MAW,22666
2022-06-03T00:00+00:00Z,2022-06-03T01:00+00:00Z,10YIT-GRTN-----B,MAW,22368
2022-06-03T01:00+00:00Z,2022-06-03T02:00+00:00Z,10YIT-GRTN-----B,MAW,22443
2022-06-03T02:00+00:00Z,2022-06-03T03:00+00:00Z,10YIT-GRTN-----B,MAW,23195
2022-06-03T03:00+00:00Z,2022-06-03T04:00+00:00Z,10YIT-GRTN-----B,MAW,26179
2022-06-03T04:00+00:00Z,2022-06-03T05:00+00:00Z,10YIT-GRTN-----B,MAW,30100
2022-06-03T05:00+00:00Z,2022-06-03T06:00+00:00Z,10YIT-GRTN-----B,MAW,33690
2022-06-03T06:00+00:00Z,2022-06-03T07:00+00:00Z,10YIT-GRTN-----B,MAW,35615
2022-06-03T07:00+00:00Z,2022-06-03T08:00+00:00Z,10YIT-GRTN-----B,MAW,36109
2022-06-03T08:00+00:00Z,2022-06-03T09:00+00:00Z,10YIT-GRTN-----B,MAW,35933
2022-06-03T09:00+00:00Z,2022-06-03T10:00+00:00Z,10YIT-GRTN-----B,MAW,36335
2022-06-03T10:00+00:00Z,2022-06-03T11:00+00:00Z,10YIT-GRTN-----B,MAW,35885
2022-06-03T11:00+00:00Z,2022-06-03T12:00+00:00Z,10YIT-GRTN-----B,MAW,35895
2022-06-03T12:00+00:00Z,2022-06-03T13:00+00:00Z,10YIT-GRTN-----B,MAW,35555
2022-06-03T13:00+00:00Z,2022-06-03T14:00+00:00Z,10YIT-GRTN-----B,MAW,35597
2022-06-03T14:00+00:00Z,2022-06-03T15:00+00:00Z,10YIT-GRTN-----B,MAW,35434
2022-06-03T15:00+00:00Z,2022-06-03T16:00+00:00Z,10YIT-GRTN-----B,MAW,35185
2022-06-03T16:00+00:00Z,2022-06-03T17:00+00:00Z,10YIT-GRTN-----B,MAW,35145
2022-06-03T17:00+00:00Z,2022-06-03T18:00+00:00Z,10YIT-GRTN-----B,MAW,34420
2022-06-03T18:00+00:00Z,2022-06-03T19:00+00:00Z,10YIT-GRTN-----B,MAW,33893
2022-06-03T19:00+00:00Z,2022-06-03T20:00+00:00Z,10YIT-GRTN-----B,MAW,31420
2022-06-03T20:00+00:00Z,2022-06-03T21:00+00:00Z,10YIT-GRTN-----B,MAW,29002
2022-06-03T21:00+00:00Z,2022-06-03T22:00+00:00Z,10YIT-GRTN-----B,MAW,26703
2022-06-03T22:00+00:00Z,2022-06-03T23:00+00:00Z,10YIT-GRTN-----B,MAW,25220
2022-06-03T23:00+00:00Z,2022-06-04T00:00+00:00Z,10YIT-GRTN-----B,MAW,24223
2022-06-04T00:00+00:00Z,2022-06-04T01:00+00:00Z,10YIT-GRTN-----B,MAW,23571
2022-06-04T01:00+00:00Z,2022-06-04T02:00+00:00Z,10YIT-GRTN-----B,MAW,23634
2022-06-04T02:00+00:00Z,2022-06-04T03:00+00:00Z,10YIT-GRTN-----B,MAW,23548
2022-06-04T03:00+00:00Z,2022-06-04T04:00+00:00Z,10YIT-GRTN-----B,MAW,24687
2022-06-04T04:00+00:00Z,2022-06-04T05:00+00:00Z,10YIT-GRTN-----B,MAW,27324
2022-06-04T05:00+00:00Z,2022-06-04T06:00+00:00Z,10YIT-GRTN-----B,MAW,29878
2022-06-04T06:00+00:00Z,2022-06-04T07:00+00:00Z,10YIT-GRTN-----B,MAW,30769
2022-06-04T07:00+00:00Z,2022-06-04T08:00+00:00Z,10YIT-GRTN-----B,MAW,30841
2022-06-04T08:00+00:00Z,2022-06-04T09:00+00:00Z,10YIT-GRTN-----B,MAW,31149
2022-06-04T09:00+00:00Z,2022-06-04T10:00+00:00Z,10YIT-GRTN-----B,MAW,30901
