StartTime,EndTime,AreaID,UnitName,Load
2022-05-31T23:00+00:00Z,2022-06-01T00:00+00:00Z,10YSE-1--------K,MAW,11674
2022-06-01T00:00+00:00Z,2022-06-01T01:00+00:00Z,10YSE-1--------K,MAW,11604
2022-06-01T01:00+00:00Z,2022-06-01T02:00+00:00Z,10YSE-1--------K,MAW,11742
2022-06-01T02:00+00:00Z,2022-06-01T03:00+00:00Z,10YSE-1--------K,MAW,12341
2022-06-01T03:00+00:00Z,2022-06-01T04:00+00:00Z,10YSE-1--------K,MAW,13736
2022-06-01T04:00+00:00Z,2022-06-01T05:00+00:00Z,10YSE-1--------K,MAW,14057
2022-06-01T05:00+00:00Z,2022-06-01T06:00+00:00Z,10YSE-1--------K,MAW,14650
2022-06-01T06:00+00:00Z,2022-06-01T07:00+00:00Z,10YSE-1--------K,MAW,15132
2022-06-01T07:00+00:00Z,2022-06-01T08:00+00:00Z,10YSE-1--------K,MAW,14940
2022-06-01T08:00+00:00Z,2022-06-01T09:00+00:00Z,10YSE-1--------K,MAW,14686
2022-06-01T09:00+00:00Z,2022-06-01T10:00+00:00Z,10YSE-1--------K,MAW,14387
2022-06-01T10:00+00:00Z,2022-06-01T11:00+00:00Z,10YSE-1--------K,MAW,14218
2022-06-01T11:00+00:00Z,2022-06-01T12:00+00:00Z,10YSE-1--------K,MAW,14214
2022-06-01T12:00+00:00Z,2022-06-01T13:00+00:00Z,10YSE-1--------K,MAW,14148
2022-06-01T13:00+00:00Z,2022-06-01T14:00+00:00Z,10YSE-1--------K,MAW,14110
2022-06-01T14:00+00:00Z,2022-06-01T15:00+00:00Z,10YSE-1--------K,MAW,14212
2022-06-01T15:00+00:00Z,2022-06-01T16:00+00:00Z,10YSE-1--------K,MAW,14025
2022-06-01T16:00+00:00Z,2022-06-01T17:00+00:00Z,10YSE-1--------K,MAW,13751
2022-06-01T17:00+00:00Z,2022-06-01T18:00+00:00Z,10YSE-1--------K,MAW,13733
2022-06-01T18:00+00:00Z,2022-06-01T19:00+00:00Z,10YSE-1--------K,MAW,13503
2022-06-01T19:00+00:00Z,2022-06-01T20:00+00:00Z,10YSE-1--------K,MAW,13033
2022-06-01T20:00+00:00Z,2022-06-01T21:00+00:00Z,10YSE-1--------K,MAW,12348
2022-06-01T21:00+00:00Z,2022-06-01T22:00+00:00Z,10YSE-1--------K,MAW,11520
2022-06-01T22:00+00:00Z,2022-06-01T23:00+00:00Z,10YSE-1--------K,MAW,11526
2022-06-01T23:00+00:00Z,2022-06-02T00:00+00:00Z,10YSE-1--------K,MAW,11727
2022-06-02T00:00+00:00Z,2022-06-02T01:00+00:00Z,10YSE-1--------K,MAW,11755
2022-06-02T01:00+00:00Z,2022-06-02T02:00+00:00Z,10YSE-1--------K,MAW,11607
2022-06-02T02:00+00:00Z,2022-06-02T03:00+00:00Z,10YSE-1--------K,MAW,11850
2022-06-02T03:00+00:00Z,2022-06-02T04:00+00:00Z,10YSE-1--------K,MAW,13241
2022-06-02T04:00+00:00Z,2022-06-02T05:00+00:00Z,10YSE-1--------K,MAW,14351
2022-06-02T05:00+00:00Z,2022-06-02T06:00+00:00Z,10YSE-1--------K,MAW,14668
2022-06-02T06:00+00:00Z,2022-06-02T07:00+00:00Z,10YSE-1--------K,MAW,15119
2022-06-02T07:00+00:00Z,2022-06-02T08:00+00:00Z,10YSE-1--------K,MAW,15279
2022-06-02T08:00+00:00Z,2022-06-02T09:00+00:00Z,10YSE-1--------K,MAW,15491
2022-06-02T09:00+00:00Z,2022-06-02T10:00+00:00Z,10YSE-1--------K,MAW,15200
2022-06-02T10:00+00:00Z,2022-06-02T11:00+00:00Z,10YSE-1--------K,MAW,15126
2022-06-02T11:00+00:00Z,2022-06-02T12:00+00:00Z,10YSE-1--------K,MAW,14971
2022-06-02T12:00+00:00Z,2022-06-02T13:00+00:00Z,10YSE-1--------K,MAW,14719
2022-06-02T13:00+00:00Z,2022-06-02T14:00+00:00Z,10YSE-1--------K,MAW,14465
2022-06-02T14:00+00:00Z,2022-06-02T15:00+00:00Z,10YSE-1--------K,MAW,14654
2022-06-02T15:00+00:00Z,2022-06-02T16:00+00:00Z,10YSE-1--------K,MAW,14349
2022-06-02T16:00+00:00Z,2022-06-02T17:00+00:00Z,10YSE-1--------K,MAW,14381
2022-06-02T17:00+00:00Z,2022-06-02T18:00+00:00Z,10YSE-1--------K,MAW,13827
2022-06-02T18:00+00:00Z,2022-06-02T19:00+00:00Z,10YSE-1--------K,MAW,13212
2022-06-02T19:00+00:00Z,2022-06-02T20:00+00:00Z,10YSE-1--------K,MAW,13422
2022-06-02T20:00+00:00Z,2022-06-02T21:00+00:00Z,10YSE-1--------K,MAW,13330
2022-06-02T21:00+00:00Z,2022-06-02T22:00+00:00Z,10YSE-1--------K,MAW,12590
2022-06-02T22:00+00:00Z,2022-06-02T23:00+00:00Z,10YSE-1--------K,MAW,11956
2022-06-02T23:00+00:00Z,2022-06-03T00:00+00:00Z,10YSE-1--------K,MAW,11514
2022-06-03T00:00+00:00Z,2022-06-03T01:00+00:00Z,10YSE-1--------K,MAW,11549
2022-06-03T01:00+00:00Z,2022-06-03T02:00+00:00Z,10YSE-1--------K,MAW,11396
2022-06-03T02:00+00:00Z,2022-06-03T03:00+00:00Z,10YSE-1--------K,MAW,11758
2022-06-03T03:00+00:00Z,2022-06-03T04:00+00:00Z,10YSE-1--------K,MAW,13303
2022-06-03T04:00+00:00Z,2022-06-03T05:00+00:00Z,10YSE-1--------K,MAW,14527
2022-06-03T05:00+00:00Z,2022-06-03T06:00+00:00Z,10YSE-1--------K,MAW,15388
2022-06-03T06:00+00:00Z,2022-06-03T07:00+00:00Z,10YSE-1--------K,MAW,15177
2022-06-03T07:00+00:00Z,2022-06-03T08:00+00:00Z,10YSE-1--------K,MAW,14961
2022-06-03T08:00+00:00Z,2022-06-03T09:00+00:00Z,10YSE-1--------K,MAW,14424
2022-06-03T09:00+00:00Z,2022-06-03T10:00+00:00Z,10YSE-1--------K,MAW,14241
2022-06-03T10:00+00:00Z,2022-06-03T11:00+00:00Z,10YSE-1--------K,MAW,13887
2022-06-03T11:00+00:00Z,2022-06-03T12:00+00:00Z,10YSE-1--------K,MAW,13739
2022-06-03T12:00+00:00Z,2022-06-03T13:00+00:00Z,10YSE-1--------K,MAW,13631
2022-06-03T13:00+00:00Z,2022-06-03T14:00+00:00Z,10YSE-1--------K,MAW,13349
2022-06-03T14:00+00:00Z,2022-06-03T15:00+00:00Z,10YSE-1--------K,MAW,13561
2022-06-03T15:00+00:00Z,2022-06-03T16:00+00:00Z,10YSE-1--------K,MAW,13513
2022-06-03T16:00+00:00Z,2022-06-03T17:00+00:00Z,10YSE-1--------K,MAW,13382
2022-06-03T17:00+00:00Z,2022-06-03T18:00+00:00Z,10YSE-1--------K,MAW,12737
2022-06-03T18:00+00:00Z,2022-06-03T19:00+00:00Z,10YSE-1--------K,MAW,12573
2022-06-03T19:00+00:00Z,2022-06-03T20:00+00:00Z,10YSE-1--------K,MAW,12237
2022-06-03T20:00+00:00Z,2022-06-03T21:00+00:00Z,10YSE-1--------K,MAW,11570
2022-06-03T21:00+00:00Z,2022-06-03T22:00+00:00Z,10YSE-1--------K,MAW,11046
2022-06-03T22:00+00:00Z,2022-06-03T23:00+00:00Z,10YSE-1--------K,MAW,10946
2022-06-03T23:00+00:00Z,2022-06-04T00:00+00:00Z,10YSE-1--------K,MAW,10749
2022-06-04T00:00+00:00Z,2022-06-04T01:00+00:00Z,10YSE-1--------K,MAW,10794
2022-06-04T01:00+00:00Z,2022-06-04T02:00+00:00Z,10YSE-1--------K,MAW,10564
2022-06-04T02:00+00:00Z,2022-06-04T03:00+00:00Z,10YSE-1--------K,MAW,10686
2022-06-04T03:00+00:00Z,2022-06-04T04:00+00:00Z,10YSE-1--------K,MAW,11019
2022-06-04T04:00+00:00Z,2022-06-04T05:00+00:00Z,10YSE-1--------K,MAW,11529
2022-06-04T05:00+00:00Z,2022-06-04T06:00+00:00Z,10YSE-1--------K,MAW,12226
2022-06-04T06:00+00:00Z,2022-06-04T07:00+00:00Z,10YSE-1--------K,MAW,12597
2022-06-04T07:00+00:00Z,2022-06-04T08:00+00:00Z,10YSE-1--------K,MAW,12714
2022-06-04T08:00+00:00Z,2022-06-04T09:00+00:00Z,10YSE-1--------K,MAW,12411
