StartTime,EndTime,AreaID,UnitName,Load
2022-05-31T23:30+00:00Z,2022-06-01T00:00+00:00Z,10Y1001A1001A92E,MAW,630
2022-06-01T00:00+00:00Z,2022-06-01T00:30+00:00Z,10Y1001A1001A92E,MAW,613
2022-06-01T00:30+00:00Z,2022-06-01T01:00+00:00Z,10Y1001A1001A92E,MAW,602
2022-06-01T01:00+00:00Z,2022-06-01T01:30+00:00Z,10Y1001A1001A92E,MAW,607
2022-06-01T01:30+00:00Z,2022-06-01T02:00+00:00Z,10Y1001A1001A92E,MAW,594
2022-06-01T02:00+00:00Z,2022-06-01T02:30+00:00Z,10Y1001A1001A92E,MAW,591
2022-06-01T02:30+00:00Z,2022-06-01T03:00+00:00Z,10Y1001A1001A92E,MAW,585
2022-06-01T03:00+00:00Z,2022-06-01T03:30+00:00Z,10Y1001A1001A92E,MAW,583
2022-06-01T03:30+00:00Z,2022-06-01T04:00+00:00Z,10Y1001A1001A92E,MAW,571
2022-06-01T04:00+00:00Z,2022-06-01T04:30+00:00Z,10Y1001A1001A92E,MAW,595
2022-06-01T04:30+00:00Z,2022-06-01T05:00+00:00Z,10Y1001A1001A92E,MAW,633
2022-06-01T05:00+00:00Z,2022-06-01T05:30+00:00Z,10Y1001A1001A92E,MAW,698
2022-06-01T05:30+00:00Z,2022-06-01T06:00+00:00Z,10Y1001A1001A92E,MAW,788
2022-06-01T06:00+00:00Z,2022-06-01T06:30+00:00Z,10Y1001A1001A92E,MAW,890
2022-06-01T06:30+00:00Z,2022-06-01T07:00+00:00Z,10Y1001A1001A92E,MAW,950
2022-06-01T07:00+00:00Z,2022-06-01T07:30+00:00Z,10Y1001A1001A92E,MAW,987
2022-06-01T07:30+00:00Z,2022-06-01T08:00+00:00Z,10Y1001A1001A92E,MAW,1004
2022-06-01T08:00+00:00Z,2022-06-01T08:30+00:00Z,10Y1001A1001A92E,MAW,1016
2022-06-01T08:30+00:00Z,2022-06-01T09:00+00:00Z,10Y1001A1001A92E,MAW,1009
2022-06-01T09:00+00:00Z,2022-06-01T09:30+00:00Z,10Y1001A1001A92E,MAW,1002
2022-06-01T09:30+00:00Z,2022-06-01T10:00+00:00Z,10Y1001A1001A92E,MAW,1006
2022-06-01T10:00+00:00Z,2022-06-01T10:30+00:00Z,10Y1001A1001A92E,MAW,1014
2022-06-01T10:30+00:00Z,2022-06-01T11:00+00:00Z,10Y1001A1001A92E,MAW,1006
2022-06-01T11:00+00:00Z,2022-06-01T11:30+00:00Z,10Y1001A1001A92E,MAW,1013
2022-06-01T11:30+00:00Z,2022-06-01T12:00+00:00Z,10Y1001A1001A92E,MAW,995
2022-06-01T12:00+00:00Z,2022-06-01T12:30+00:00Z,10Y1001A1001A92E,MAW,962
2022-06-01T12:30+00:00Z,2022-06-01T13:00+00:00Z,10Y1001A1001A92E,MAW,954
2022-06-01T13:00+00:00Z,2022-06-01T13:30+00:00Z,10Y1001A1001A92E,MAW,948
2022-06-01T13:30+00:00Z,2022-06-01T14:00+00:00Z,10Y1001A1001A92E,MAW,941
2022-06-01T14:00+00:00Z,2022-06-01T14:30+00:00Z,10Y1001A1001A92E,MAW,945
2022-06-01T14:30+00:00Z,2022-06-01T15:00+00:00Z,10Y1001A1001A92E,MAW,955
2022-06-01T15:00+00:00Z,2022-06-01T15:30+00:00Z,10Y1001A1001A92E,MAW,991
